Slice	Ctrl	10%	20%	30%	40%	50%	60%
0	14	0	0	0	0	0	0
1	22	0	0	0	0	0	0
2	23	0	0	0	0	0	0
3	22	0	0	0	0	0	0
4	23	0	0	0	0	0	0
5	22	0	0	0	0	0	0
6	23	0	0	0	0	0	0
7	24	0	0	0	0	0	0
8	25	0	0	0	0	0	0
9	26	0	0	0	0	0	0
10	27	0	0	0	0	0	0
11	27	0	0	0	0	0	0
12	27	2	0	0	0	0	0
13	27	4	0	0	0	0	0
14	25	7	0	0	0	0	0
15	22	9	0	0	0	0	0
16	21	11	0	0	0	0	0
17	21	14	0	0	0	0	0
18	21	17	0	0	0	0	0
19	21	17	0	0	0	0	0
20	20	17	0	0	0	0	0
21	21	17	0	0	0	0	0
22	21	19	0	0	0	0	0
23	22	21	0	0	0	0	0
24	22	22	0	0	0	0	0
25	22	22	0	0	0	0	0
26	23	24	0	0	0	0	0
27	24	24	3	0	0	0	0
28	24	23	7	0	0	0	0
29	23	21	11	0	0	0	0
30	22	19	17	0	0	0	0
31	22	18	22	0	0	0	0
32	22	19	26	0	0	0	0
33	21	18	31	0	0	0	0
34	20	19	34	0	0	0	0
35	20	20	37	0	0	0	0
36	22	21	38	0	0	0	0
37	23	22	39	0	0	0	0
38	23	21	40	0	0	0	0
39	22	20	41	0	0	0	0
40	22	21	40	0	0	0	0
41	22	21	42	0	0	0	0
42	22	21	43	0	0	0	0
43	22	20	43	2	0	0	0
44	22	20	42	5	0	0	0
45	23	21	43	9	0	0	0
46	25	21	43	15	0	0	0
47	25	20	44	19	0	0	0
48	26	20	43	24	0	0	0
49	25	21	44	29	0	0	0
50	24	22	43	33	0	0	0
51	23	22	42	35	0	0	0
52	23	20	40	38	0	0	0
53	23	20	40	38	0	0	0
54	25	20	39	40	0	0	0
55	26	20	38	41	3	0	0
56	28	20	36	42	7	0	0
57	29	20	37	43	12	0	0
58	32	22	38	42	19	0	0
59	33	24	39	42	27	0	0
60	35	25	40	41	34	0	0
61	36	26	40	42	43	0	0
62	36	25	40	43	50	0	0
63	34	24	41	42	55	0	0
64	33	24	41	41	59	0	0
65	32	24	42	41	61	0	0
66	32	23	43	40	61	0	0
67	33	24	43	40	64	0	0
68	35	25	43	39	64	0	0
69	36	27	43	37	65	0	0
70	38	29	42	36	65	0	0
71	42	30	42	36	64	0	0
72	43	31	41	37	64	0	0
73	44	33	41	37	65	0	0
74	43	33	42	37	65	0	0
75	42	33	44	38	64	0	0
76	42	32	47	37	63	3	0
77	43	31	51	37	62	6	0
78	41	29	52	36	62	11	0
79	43	30	57	36	63	17	0
80	42	31	59	36	63	22	0
81	43	33	60	36	63	28	0
82	44	34	59	37	63	36	0
83	46	37	60	40	62	39	0
84	47	40	61	44	62	42	0
85	50	42	64	47	62	43	0
86	51	43	64	49	61	44	0
87	53	42	66	50	62	45	0
88	55	41	68	50	62	45	0
89	55	40	71	50	64	43	0
90	57	39	71	51	67	44	0
91	57	39	72	52	71	45	2
92	56	39	71	54	74	45	6
93	58	39	71	54	78	44	11
94	58	40	71	57	82	45	18
95	60	40	70	59	87	45	25
96	61	43	70	61	88	44	34
97	62	45	72	60	90	45	41
98	62	46	73	61	92	43	47
99	62	47	75	59	96	42	51
100	60	47	79	60	100	41	54
101	58	48	81	60	101	41	54
102	57	48	85	60	102	41	54
103	56	47	87	62	105	43	54
104	55	48	88	62	109	43	54
105	55	49	89	63	109	44	53
106	57	50	88	66	109	47	53
107	59	50	88	65	111	51	52
108	61	51	87	66	113	55	51
109	62	51	87	66	114	59	50
110	63	53	87	66	114	62	47
111	63	51	89	65	117	68	45
112	63	48	90	65	113	69	44
